1 24355,32565
2 204,10910
3 38264,151903
4 7824,52175
5 8419,175685
6 42288,234943
7 17838,85576
8 3545,70121
9 2197,113103
10 7660,32846
11 19319,25969
12 14463,49766
13 3374,10344
14 12454,104513
15 5874,13990
16 5864,71607
17 41349,43061
18 16549,39827
19 40690,41439
20 8793,290842
21 5961,35695
22 120913,127404
23 54241,85591
24 13835,23932
25 21343,91770
26 10398,20465
27 63456,69589
28 24379,160068
29 24185,26523
30 11047,41528
31 13859,104569
32 1144,82097
33 795,28077
34 1837,167192
35 6285,22075
36 27689,60506
37 23195,28008
38 3097,8448
39 1236,13694
40 41667,222168
41 57824,62312
42 1303,4299
43 53723,88221
44 2647,3580
45 7262,42613
46 16923,36491
47 30448,348633
48 9034,17058
49 2967,26530
50 3479,66891
51 2839,31476
52 623,150129
53 64651,65732
54 7347,20681
55 17,70570
56 9138,142545
57 7975,23130
58 45314,65747
59 16732,87546
60 32844,307310
61 2917,14124
62 3801,71609
63 31747,92912
64 7829,16925
65 3569,182927
66 8258,56010
67 628,14215
68 1221,2971
69 158873,246595
70 7691,18132
71 80624,97886
72 13826,76899
73 41886,147004
74 5329,309117
75 5726,16105
76 3117,10398
77 49653,50057
78 2802,62312
79 20604,60959
80 214599,256389
81 8869,86802
82 13408,59496
83 8387,23460
84 3817,27617
85 52390,58801
86 15332,32916
87 1884,72233
88 24627,25029
89 17079,44556
90 10410,12589
91 4716,249003
92 9227,9311
93 420,175950
94 19319,22023
95 49726,57621
96 116374,219668
97 31022,42267
98 3856,5098
99 4362,13299
100 5572,27507
101 17394,92709
102 54475,104434
103 6327,18913
104 13639,54720
105 15210,253548
106 2197,20614
107 26015,75847
108 7736,104992
109 12055,25129
110 50602,63563
111 12958,19133
112 42785,57076
113 6066,118665
114 150,14289
115 170371,233091
116 3649,5662
117 6223,50602
118 5466,5532
119 2839,10403
120 3076,101118
121 299,27329
122 66,2815
123 67785,110878
124 1144,92160
125 1906,21062
126 4741,12693
127 4714,40295
128 308,9240
129 3187,62233
130 3235,77186
131 2711,8258
132 813,2740
133 43703,50839
134 13903,75657
135 2486,75103
136 44064,325352
137 8258,21885
138 1249,5769
139 3069,140837
140 1317,20523
141 48955,113069
142 8875,148680
143 5640,49603
144 59876,87387
145 32930,100969
146 6384,222699
147 108058,246160
148 938,6001
149 43748,74655
150 83802,129232
151 795,22567
152 3012,3123
153 106,6126
154 50929,71528
155 2522,48778
156 135,53383
157 35865,87421
158 12350,90930
159 2828,143546
160 4728,5808
161 7650,20713
162 4779,51354
163 218,300332
164 29512,126028
165 4285,8869
166 2360,16565
167 644,60435
168 12471,104411
169 9964,57584
170 16103,39586
171 16105,133516
172 6227,71532
173 13966,42398
174 1917,20681
175 9157,416641
176 22555,160804
177 41528,50596
178 24355,31628
179 10681,301134
180 5627,182017
181 28008,42523
182 37658,55420
183 1091,62179
184 23889,25543
185 21998,169346
186 43274,121179
187 2711,16614
188 37835,114279
189 5790,8206
190 7820,12461
191 2580,2972
192 2917,32916
193 7603,161320
194 2560,4800
195 12776,75739
196 3235,75370
197 1148,20727
198 8818,89957
199 13120,56957
200 1137,8941
201 2060,4742
202 144,19824
203 18211,42578
204 49933,150392
205 3843,3963
206 788,105063
207 24868,33066
208 815,18698
209 10401,62693
210 4714,105298
211 53335,81699
212 105660,282021
213 24882,152243
214 696,37693
215 628,6058
216 3099,41345
217 13899,79343
218 6057,7526
219 85600,89693
220 46207,151773
221 7829,141135
222 43772,49976
223 9063,135400
224 22175,81542
225 35453,40273
226 23293,154497
227 1204,26508
228 81557,81559
229 32645,219431
230 16480,19919
231 18913,151872,152108
232 32844,272887
233 12296,24907
234 8382,10264
235 55013,64295
236 11985,90517
237 42175,42737
238 24690,107026
239 1586,4827
240 6052,10403
241 342,32645
242 39322,223825
243 15390,25347
244 28008,209283
245 13226,15100
246 28201,43043
247 6251,11561
248 12428,23778
249 7088,27998
250 13366,24964
251 18864,33329
252 7347,257884
253 4234,87785
254 2711,19363
255 10401,35865
