1 901,2109
2 1760,2584
3 168,14343
4 546,7897
5 736,5248
6 52,1336
7 82,303
8 100,348
9 463,3051
10 2750,9186
11 744,4861
12 567,2861
13 2998,8223
14 305,744
15 796,1381
16 453,2866
17 1372,2718
18 819,3854
19 1072,6258
20 373,1692
21 608,10562
22 453,7808
23 4590,7202
24 767,6808
25 50,742
26 703,13059
27 1768,3333
28 380,1044
29 69,2970
30 110,1848
31 37,6172
32 377,5566
33 424,830
34 3,6417
35 506,2031
36 267,8449
37 1157,4631
38 1504,13980
39 1411,15082
40 5176,6894
41 2587,5632
42 716,2682
43 2074,4589
44 207,1502
45 162,2254
46 1754,8529
47 453,1405
48 52,3703
49 1854,3759
50 2493,7300
51 636,852
52 1337,8389
53 1483,15619
54 753,888
55 363,4504
56 1011,9244
57 2010,3368
58 907,2105
59 249,317
60 21,557
61 238,1458
62 259,3238
63 221,9133
64 1878,6888
65 1984,13569
66 2861,3890
67 1386,2499
68 1683,3378
69 2986,4168
70 5962,7398
71 631,3658
72 276,5407
73 260,4459
74 337,816
75 353,742
76 2571,12952
77 100,10541
78 137,480
79 719,4344
80 3207,4657
81 172,1502
82 1157,12331
83 108,1356
84 109,1824
85 236,2682
86 43,5396
87 726,3360
88 1225,7226
89 546,7859
90 842,1212
91 107,2173
92 3120,6899
93 2597,15736
94 604,2323
95 736,1966
96 491,1610
97 766,1738
98 321,552
99 1849,2861
100 3367,3975
101 216,4160
102 2748,3338
103 9691,12010
104 267,15344
105 330,1558
106 3567,4832
107 6915,10433
108 1390,8866
109 4318,8111
110 854,15414
111 685,1471
112 2717,4765
113 2635,3411
114 456,497
115 1372,4652
116 1468,1569
117 818,3559
118 1149,11670
119 2068,12348
120 1610,22343
121 842,18172
122 192,518
123 94,2179
124 842,1776
125 1403,7915
126 235,1382
127 41,2191
128 2571,6683
129 132,1415
130 235,1400
131 82,2726
132 2042,6428
133 428,3372
134 506,1723
135 786,3992
136 275,12166
137 570,8816
138 2635,4745
139 863,1081
140 503,9805
141 1799,2850
142 103,10280
143 2600,4058
144 1438,3783
145 633,2232
146 6013,6130
147 453,2521
148 473,2588
149 137,424
150 544,3313
151 999,2783
152 128,2828
153 1537,2068
154 803,931
155 235,1233
156 247,826
157 7895,10918
158 636,3410
159 1121,1618
160 1212,14168
161 1390,4659
162 385,5094
163 20,819
164 3027,7698
165 94,9097
166 978,3667
167 2739,3197
168 2203,4376
169 503,13075
170 542,2813
